"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2021,"Thiago Alcántara","ESP","MF","29",1991,24,20,1854,20.6,1,0,1,1,0,0,4,0,27,203,25,0.05,0,0.05,0.05,0.05,1.2,1.2,2.3,3.5,0.06,0.11,0.17,0.06,0.17,2021,2e+07
2021,"Trent Alexander-Arnold","ENG","DF","21",1998,36,34,3031,33.7,2,7,9,2,0,0,2,0,98,251,249,0.06,0.21,0.27,0.06,0.27,2.6,2.6,8.6,11.2,0.08,0.26,0.33,0.08,0.33,2021,8e+07
2021,"Alisson","BRA","GK","27",1992,33,33,2970,33,1,0,1,1,0,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,0.1,0.1,0,0.1,0,0,0,0,0,2021,5e+07
2021,"Fabinho","BRA","DF,MF","26",1993,30,28,2567,28.5,0,0,0,0,0,0,6,0,27,124,13,0,0,0,0,0,0.3,0.3,0.3,0.6,0.01,0.01,0.02,0.01,0.02,2021,6e+07
2021,"Roberto Firmino","BRA","FW","28",1991,36,33,2838,31.5,9,7,16,9,0,0,2,0,66,140,222,0.29,0.22,0.51,0.29,0.51,11.3,11.3,5.6,16.9,0.36,0.18,0.54,0.36,0.54,2021,3.2e+07
2021,"Joe Gomez","ENG","DF","23",1997,7,6,590,6.6,0,0,0,0,0,0,0,0,4,38,1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2021,1.8e+07
2021,"Jordan Henderson","ENG","MF,DF","30",1990,21,20,1704,18.9,1,1,2,1,0,0,0,0,46,169,21,0.05,0.05,0.11,0.05,0.11,1.3,1.3,1.5,2.8,0.07,0.08,0.15,0.07,0.15,2021,1.5e+07
2021,"Curtis Jones","ENG","MF","19",2001,24,13,1179,13.1,1,2,3,1,0,0,2,0,42,89,79,0.08,0.15,0.23,0.08,0.23,1.7,1.7,1.5,3.2,0.13,0.11,0.24,0.13,0.24,2021,2.8e+07
2021,"Diogo Jota","POR","FW","23",1996,19,12,1112,12.4,9,0,9,9,0,0,2,0,54,43,125,0.73,0,0.73,0.73,0.73,6.4,6.4,1.6,8,0.51,0.13,0.64,0.51,0.64,2021,6e+07
2021,"Ozan Kabak","TUR","DF","20",2000,9,9,801,8.9,0,0,0,0,0,0,3,0,3,20,1,0,0,0,0,0,0.1,0.1,0,0.2,0.02,0,0.02,0.02,0.02,2021,1e+07
2021,"Naby Keïta","GUI","MF","25",1995,10,7,520,5.8,0,0,0,0,0,0,1,0,18,33,19,0,0,0,0,0,0.4,0.4,0.6,1,0.07,0.11,0.18,0.07,0.18,2021,2.5e+07
2021,"Caoimhín Kelleher","IRL","GK","21",1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,8e+06
